region,category,name,image,description
전주,restaurants,조점례 남문피순대,sundae.png,밥
전주,restaurants,현대옥 남부시장점,,
전주,restaurants,왱이집,,
전주,restaurants,하수경 가마솥비빔밥,,
전주,restaurants,PNB풍년제과,,
전주,restaurants,전일갑오,,
전주,touristSpots,한옥마을,,
전주,touristSpots,전주동물원,,
전주,touristSpots,국립전주박물간,,
전주,touristSpots,전주전통술박물관,,
전주,touristSpots,전주 풍패지관,,
전주,touristSpots,시장비빔밥,,
군산,restaurants,일해옥,,콩나물국밥
군산,restaurants,뜨락,,닭누룽지백숙
군산,restaurants,복성루,,해물짬뽕
군산,restaurants,옹고집쌈밥,,쌈밥
군산,restaurants,한소끔,,해물찜
군산,touristSpots,말랭이마을,,
군산,touristSpots,은파호수공원,,
군산,touristSpots,경암동철길마을,,
군산,touristSpots,선유도 해수욕장,,
군산,touristSpots,금강습지생태공원,,
군산,touristSpots,테디베어뮤지엄,,
익산,restaurants,동서네낙지,,
익산,restaurants,초미당,,
익산,restaurants,한일식당,,
익산,restaurants,신동양,,
익산,restaurants,고려당,,
익산,restaurants,따봉식당,,
익산,touristSpots,익산근대역사관,,
익산,touristSpots,고스락,,
익산,touristSpots,익산보석박물관,,
익산,touristSpots,서동팜,,
익산,touristSpots,왕궁 포레스트,,
익산,touristSpots,액션하우스,,
정읍,restaurants,차마루,,쌍화탕
정읍,restaurants,대일정,,"떡갈비, 참게장 주물럭"
정읍,restaurants,포레스트베이,,파스타
정읍,restaurants,옹기전팥죽,,"분식, 팥죽"
정읍,restaurants,아들딸사랑한다,,묵은지 김치찜
정읍,restaurants,이화담,,갈비젓갈조림
정읍,touristSpots,내장산,,
정읍,touristSpots,백양사,,
정읍,touristSpots,정읍사문화공원,,
정읍,touristSpots,피향정,,
정읍,touristSpots,쌍화차거리,,
정읍,touristSpots,용흥리 해정사지 석탑,,
김제,restaurants,,,
김제,restaurants,,,
김제,restaurants,,,
김제,restaurants,,,
김제,touristSpots,,,
김제,touristSpots,,,
김제,touristSpots,,,
김제,touristSpots,,,
김제,touristSpots,,,
김제,touristSpots,,,
남원,restaurants,삼포가든,,
남원,restaurants,이조갈비,,
남원,restaurants,만월,,
남원,restaurants,서남만찬,,
남원,restaurants,친절식당,,
남원,touristSpots,남원항공우주천문대,,
남원,touristSpots,아담원,,
남원,touristSpots,지리산허브밸리,,
남원,touristSpots,광한루원,,
남원,touristSpots,춘향테마파크,,
남원,touristSpots,남원랜드,,
여수,restaurants,꽃돌게장1번가,,
여수,restaurants,로타리식당,,
여수,restaurants,바다김밥,,
여수,restaurants,복춘식당,,
여수,restaurants,좌수영바게트버거,,
여수,restaurants,여수당,,
여수,touristSpots,여수해상케이블카,,
여수,touristSpots,아쿠아플라넷,,
여수,touristSpots,유월드 루지 테마파크,,
여수,touristSpots,오동도,,
여수,touristSpots,테디베어뮤지엄,,
여수,touristSpots,전라남도해양수산과학관,,
목포,restaurants,유달콩물,,
목포,restaurants,청자횟집,,
목포,restaurants,선경준치횟집,,
목포,restaurants,김정림선지해장국,,
목포,restaurants,하당먹거리,,
목포,restaurants,정성김밥,,
목포,touristSpots,목포자연사박물관,,
목포,touristSpots,고하도전망대,,
목포,touristSpots,평화광장,,
목포,touristSpots,목포해상케이블카,,
목포,touristSpots,목포근대역사관,,
목포,touristSpots,갓바위,,
순천,restaurants,,,
순천,restaurants,,,
순천,restaurants,,,
순천,restaurants,,,
순천,restaurants,,,
순천,restaurants,,,
순천,touristSpots,,,
순천,touristSpots,,,
순천,touristSpots,,,
순천,touristSpots,,,
순천,touristSpots,,,
순천,touristSpots,,,
나주,restaurants,,,
나주,restaurants,,,
나주,restaurants,,,
나주,restaurants,,,
나주,restaurants,,,
나주,restaurants,,,
나주,touristSpots,,,
나주,touristSpots,,,
나주,touristSpots,,,
나주,touristSpots,,,
나주,touristSpots,,,
나주,touristSpots,,,
광양,restaurants,,,
광양,restaurants,,,
광양,restaurants,,,
광양,restaurants,,,
광양,restaurants,,,
광양,restaurants,,,
광양,touristSpots,,,
광양,touristSpots,,,
광양,touristSpots,,,
광양,touristSpots,,,
광양,touristSpots,,,
광양,touristSpots,,,
광주,restaurants,서울곱창,,
광주,restaurants,미미원,,
광주,restaurants,영명국밥,,
광주,restaurants,대광식당,,
광주,restaurants,상무초밥,,
광주,restaurants,송정ᄄᅠᆨ갈비,,
광주,touristSpots,4.19민주혁명 역사관,,
광주,touristSpots,5.18민주화운동기록관,,
광주,touristSpots,경장각,,
광주,touristSpots,맥문동숲길,,
광주,touristSpots,박뫼마을,,
광주,touristSpots,양림동 호랑가시나무길,,
